ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1,2,2023-01-01 08:00:00,2023-01-01 08:30:00,34.052235,-118.243683,34.0526,-118.244,0.5,Minor accident near downtown.,1234,Main St,R,Los Angeles,Los Angeles,CA,90012,US,Pacific,KLAX,2023-01-01 07:50:00,72.0,70.0,40.0,30.0,10.0,NW,5.0,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Day
A-2,3,2023-01-02 14:00:00,2023-01-02 15:00:00,40.712776,-74.005974,40.713,-74.0062,1.2,Two-vehicle collision in rain.,2345,Broadway,R,New York,New York,NY,10001,US,Eastern,KLGA,2023-01-02 13:50:00,65.0,63.0,60.0,30.01,8.0,E,12.0,0.2,Rain,False,False,True,False,True,False,False,False,False,False,True,True,Day,Day,Day,Day,Day
A-3,1,2023-01-03 09:15:00,2023-01-03 09:45:00,41.878113,-87.629799,41.8786,-87.63,0.8,Minor accident in dense fog.,3456,Wacker Dr,L,Chicago,Cook,IL,60606,US,Central,KORD,2023-01-03 09:00:00,55.0,53.0,70.0,29.99,5.0,Fog,5.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Day
A-4,4,2023-01-04 18:00:00,2023-01-04 19:30:00,34.052235,-118.243683,34.053,-118.2445,2.5,Multi-vehicle collision in thunderstorm.,4567,Sunset Blvd,R,Los Angeles,Los Angeles,CA,90028,US,Pacific,KLAX,2023-01-04 17:50:00,80.0,78.0,50.0,30.1,7.0,S,15.0,0.3,Thunderstorm,False,False,True,False,True,False,True,False,False,False,True,True,Night,Night,Night,Night,Day
A-5,2,2023-01-05 07:30:00,2023-01-05 08:00:00,37.774929,-122.419418,37.7754,-122.42,0.4,Rear-end collision at traffic light.,5678,Market St,L,San Francisco,San Francisco,CA,94103,US,Pacific,KSFO,2023-01-05 07:20:00,62.0,61.0,45.0,30.09,9.0,N,7.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,Day
A-6,2,2023-01-06 10:00:00,2023-01-06 10:30:00,36.778259,-119.417931,36.7789,-119.419,0.7,Minor fender bender in a parking lot.,1234,Main St,R,Fresno,Fresno,CA,93726,US,Pacific,KFAT,2023-01-06 09:55:00,68.0,67.0,55.0,30.12,9.5,NW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Day
A-8,4,2023-01-08 16:00:00,2023-01-08 17:45:00,29.760427,-95.369804,29.761,-95.3705,3.0,Multi-vehicle collision, major delay.,9101,Elm St,R,Houston,Harris,TX,77002,US,Central,KIAH,2023-01-08 15:50:00,85.0,84.0,65.0,29.91,4.0,SW,15.0,0.3,Heavy Rain,False,False,True,False,True,False,True,False,False,False,True,True,Day,Day,Day,Day
A-9,3,2023-01-09 13:00:00,2023-01-09 13:45:00,25.76168,-80.19179,25.7622,-80.1925,1.5,Rear-end collision on highway.,3456,Ocean Dr,L,Miami,Miami-Dade,FL,33139,US,Eastern,KMIA,2023-01-09 12:50:00,77.0,76.0,60.0,30.01,7.5,SE,8.0,0.1,Rain,False,False,True,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-10,2,2023-01-10 20:00:00,2023-01-10 20:30:00,47.606209,-122.332071,47.6067,-122.333,0.6,Single car spin-out in drizzle.,7890,Pine St,R,Seattle,King,WA,98101,US,Pacific,KSEA,2023-01-10 19:50:00,58.0,56.0,50.0,30.22,8.0,W,12.0,0.05,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Day
A-12,1,2023-01-12 12:00:00,2023-01-12 12:15:00,33.749001,-84.387978,33.7495,-84.3885,0.5,Minor accident on a quiet street.,1023,Peachtree St,R,Atlanta,Fulton,GA,30303,US,Eastern,KATL,2023-01-12 11:55:00,65.0,64.0,45.0,29.95,10.0,S,5.0,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-14,2,2023-01-14 09:30:00,2023-01-14 10:00:00,42.360253,-71.058291,42.361,-71.059,0.8,Single vehicle collision in light rain.,5698,Beacon St,L,Boston,Suffolk,MA,02108,US,Eastern,KBOS,2023-01-14 09:20:00,55.0,54.0,60.0,30.1,7.0,SW,8.0,0.05,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-15,3,2023-01-15 14:00:00,2023-01-15 15:00:00,45.505106,-122.675026,45.506,-122.676,1.5,Rear-end collision at busy intersection.,2563,Burnside Ave,R,Portland,Multnomah,OR,97209,US,Pacific,KPDX,2023-01-15 13:50:00,50.0,49.0,65.0,29.89,8.0,E,12.0,0.0,Cloudy,False,False,True,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
